"","day","month","year","deaths","date"
"389",7,4,"2018",76,2018-04-07
"390",8,4,"2015",57,2015-04-08
"391",8,4,"2016",88,2016-04-08
"392",8,4,"2017",88,2017-04-08
"393",8,4,"2018",67,2018-04-08
"394",9,4,"2015",73,2015-04-09
"395",9,4,"2016",65,2016-04-09
"396",9,4,"2017",86,2017-04-09
"397",9,4,"2018",78,2018-04-09
"398",10,4,"2015",66,2015-04-10
"399",10,4,"2016",73,2016-04-10
"400",10,4,"2017",88,2017-04-10
"401",10,4,"2018",68,2018-04-10
"402",11,4,"2015",80,2015-04-11
"403",11,4,"2016",83,2016-04-11
"404",11,4,"2017",86,2017-04-11
"405",11,4,"2018",75,2018-04-11
"406",12,4,"2015",93,2015-04-12
"407",12,4,"2016",65,2016-04-12
"408",12,4,"2017",82,2017-04-12
"409",12,4,"2018",77,2018-04-12
"410",13,4,"2015",74,2015-04-13
"411",13,4,"2016",68,2016-04-13
"412",13,4,"2017",74,2017-04-13
"413",13,4,"2018",78,2018-04-13
"414",14,4,"2015",71,2015-04-14
"415",14,4,"2016",84,2016-04-14
"416",14,4,"2017",77,2017-04-14
"417",14,4,"2018",67,2018-04-14
"418",15,4,"2015",86,2015-04-15
"419",15,4,"2016",74,2016-04-15
"420",15,4,"2017",74,2017-04-15
"421",15,4,"2018",75,2018-04-15
"422",16,4,"2015",79,2015-04-16
"423",16,4,"2016",80,2016-04-16
"424",16,4,"2017",80,2017-04-16
"425",16,4,"2018",66,2018-04-16
"426",17,4,"2015",74,2015-04-17
"427",17,4,"2016",77,2016-04-17
"428",17,4,"2017",79,2017-04-17
"429",17,4,"2018",70,2018-04-17
"430",18,4,"2015",71,2015-04-18
"431",18,4,"2016",82,2016-04-18
"432",18,4,"2017",73,2017-04-18
"433",18,4,"2018",80,2018-04-18
"434",19,4,"2015",74,2015-04-19
"435",19,4,"2016",62,2016-04-19
"436",19,4,"2017",82,2017-04-19
"437",19,4,"2018",72,2018-04-19
"438",20,4,"2015",66,2015-04-20
"439",20,4,"2016",75,2016-04-20
"440",20,4,"2017",84,2017-04-20
"441",20,4,"2018",67,2018-04-20
"442",21,4,"2015",73,2015-04-21
"443",21,4,"2016",73,2016-04-21
