"","gene","p_value"
"112","1552409_a_at",0.025453146436241
"113","1552410_at",6.51633596060795e-06
"114","1552411_at",0.0103795702719953
"115","1552412_a_at",0.486804461689487
"116","1552414_at",0.515272236221267
"117","1552415_a_at",0.002231235615764
"118","1552417_a_at",3.93746766774609e-14
"119","1552418_at",0.399711888502048
"120","1552419_s_at",0.770423713202073
"121","1552421_a_at",0.154517056674606
"122","1552422_at",4.24257916273148e-07
"123","1552423_at",0.475271146132303
"124","1552424_at",0.0011686167237405
"125","1552425_a_at",0.00758832550149294
"126","1552426_a_at",0.630931360313302
"127","1552427_at",0.763330447228735
"128","1552430_at",0.315527918967839
"129","1552432_at",0.257167695538705
"130","1552436_a_at",0.681753918828737
"131","1552438_a_at",0.380722262748762
"132","1552439_s_at",0.423450143957419
"133","1552440_at",0.261122448454505
"134","1552445_a_at",0.000378818468495905
"135","1552448_a_at",1.56897296587481e-05
"136","1552449_a_at",0.715274262184272
"137","1552450_a_at",0.840768145251777
"138","1552452_at",0.543233423860167
"139","1552453_a_at",0.0495664888635782
"140","1552455_at",0.823476164847993
"141","1552456_a_at",0.650428610086989
"142","1552457_a_at",0.621179816411893
"143","1552458_at",0.0191613245450255
"144","1552459_a_at",0.0452077459647924
"145","1552461_at",0.0416124845002436
"146","1552463_at",0.278448676964681
"147","1552466_x_at",0.0530972028478086
"148","1552467_at",0.175166295426011
"149","1552468_a_at",0.0163180647442183
"150","1552470_a_at",0.000942176923934387
"151","1552472_a_at",5.43269726798743e-05
"152","1552473_at",0.000258351786727174
"153","1552474_a_at",0.00220269360976436
"154","1552476_s_at",0.0698774666427987
"155","1552477_a_at",0.201432519122724
"156","1552478_a_at",0.556213141340205
"157","1552480_s_at",0.0568874821337845
"158","1552481_s_at",0.00667441426371089
"159","1552482_at",0.589086331505614
"160","1552484_at",0.230707007809333
"161","1552485_at",0.213376683621601
"162","1552486_s_at",0.0511748409369676
"163","1552487_a_at",0.000437174210821078
"164","1552489_s_at",0.827720834817695
"165","1552490_at",0.66833313219754
"166","1552491_at",0.936499720267588
"167","1552493_s_at",0.423467523251802
"168","1552494_at",0.361431942744198
"169","1552496_a_at",0.50630908447561
"170","1552497_a_at",0.304724844576017
"171","1552498_at",0.169201846446761
"172","1552499_a_at",0.0064362306857834
"173","1552501_a_at",0.2143927481967
"174","1552502_s_at",0.925204793510342
"175","1552503_at",0.961449982213275
"176","1552504_a_at",1.30743172226565e-06
"177","1552506_at",3.14210510606072e-07
"178","1552507_at",4.0883219030345e-06
"179","1552508_at",9.57650066073982e-07
"180","1552509_a_at",0.646177417134415
"181","1552510_at",0.224887957973661
"182","1552511_a_at",0.048210161172056
"183","1552514_at",0.678561798098347
"184","1552515_at",0.0059620656917392
"185","1552516_a_at",0.0179044865555913
"186","1552518_s_at",0.310995058790887
"187","1552519_at",5.9061822776232e-11
"188","1552520_at",0.786774666830927
"189","1552521_a_at",0.442175556904391
"190","1552522_at",8.86544638581497e-06
"191","1552523_a_at",2.28598057388101e-08
"192","1552524_at",0.757155176016337
"193","1552526_at",0.0113974023978164
"194","1552528_at",0.102078207635037
"195","1552531_a_at",0.000666441479069652
"196","1552532_a_at",0.0513844790623716
"197","1552535_at",0.0799117684812702
"198","1552536_at",0.433550503206946
