incident_id,offense_id,OFFENSE_CODE,OFFENSE_CODE_EXTENSION,OFFENSE_TYPE_ID,OFFENSE_CATEGORY_ID,FIRST_OCCURRENCE_DATE,LAST_OCCURRENCE_DATE,REPORTED_DATE,INCIDENT_ADDRESS,GEO_X,GEO_Y,GEO_LON,GEO_LAT,DISTRICT_ID,PRECINCT_ID,NEIGHBORHOOD_ID,IS_CRIME,IS_TRAFFIC,VICTIM_COUNT
2021690858,2021690858520300,5203,0,weapon-carrying-prohibited,all-other-crimes,12/8/2021 4:15:00 PM,,12/8/2021 6:11:00 PM,1100 BLOCK W 11TH AVE,3140475,1692488,-105.0005268,39.733623,1,123,lincoln-park,1,0,1
2017191655,2017191655570700,5707,0,criminal-trespassing,all-other-crimes,3/23/2017 4:50:00 PM,,3/25/2017 3:02:00 PM,1452 N PENNSYLVANIA ST,3145953,1694575,-104.9810072,39.7392679,6,623,capitol-hill,1,0,1
2022133437,2022133437353e3,3530,0,drug-cocaine-sell,drug-alcohol,3/18/2022 12:23:00 AM,,3/18/2022 7:30:00 AM,1100 14TH ST,3141031,1697042,-104.9984605,39.7461162,6,611,cbd,1,0,1
2019685783,2019685783709904,7099,4,disarming-a-peace-officer,all-other-crimes,10/26/2019 5:40:00 PM,,10/26/2019 5:40:00 PM,500 BLOCK E 16TH AVE,3146009,1695427,-104.9807907,39.7416059,6,621,north-capitol-hill,1,0,1
2021313072,2021313072240400,2404,0,theft-of-motor-vehicle,auto-theft,6/2/2021 10:00:00 PM,6/3/2021 7:15:00 AM,6/3/2021 7:21:00 AM,1680 S COLORADO BLVD,3157638,1675273,-104.9398808,39.6860895,3,322,virginia-village,1,0,1
20216019368,20216019368299900,2999,0,criminal-mischief-other,public-disorder,9/25/2021 2:20:00 PM,9/25/2021 3:00:00 PM,9/26/2021 1:59:00 PM,2300 WELTON ST,3145609,1698924,-104.9821422,39.7512121,6,621,five-points,1,0,1
202148928,202148928240400,2404,0,theft-of-motor-vehicle,auto-theft,1/24/2021 11:00:00 PM,1/25/2021 5:32:00 AM,1/25/2021 5:32:00 AM,S CLAY ST / W COLORADO AVE,3134989,1674419,-105.0203716,39.6841009,4,422,ruby-hill,1,0,1
20175001470,20175001470361200,3612,0,sex-off-fail-to-register,all-other-crimes,3/6/2017 4:00:00 PM,,3/28/2017 10:59:00 AM,1331 N CHEROKEE ST,3142778,1693787,-104.9923126,39.737154,6,611,civic-center,1,0,1
2020267489,2020267489220300,2203,0,burglary-business-by-force,burglary,5/2/2020 1:32:00 AM,5/2/2020 1:38:00 AM,5/2/2020 2:03:00 AM,4697 E EVANS AVE,3159666,1672633,-104.9327337,39.6788076,3,322,virginia-village,1,0,1
202167638,202167638299900,2999,0,criminal-mischief-other,public-disorder,2/3/2021 1:12:00 AM,,2/3/2021 8:12:00 AM,2796 S FEDERAL BLVD,3133863,1667779,-105.0244958,39.665888699999996,4,422,college-view-south-platte,1,0,1
20215003048,20215003048239900,2399,0,theft-other,larceny,4/23/2021 8:00:00 AM,4/30/2021 8:00:00 AM,7/28/2021 7:19:00 AM,720 N COLORADO BLVD,3157339,1690469,-104.9406107,39.7278107,2,222,hale,1,0,1
2021567598,2021567598230300,2303,0,theft-shoplift,larceny,10/3/2021 9:45:00 AM,,10/3/2021 2:55:00 PM,3770 E 40TH AVE,3156435,1706542,-104.9434746,39.7719489,2,212,clayton,1,0,1
2020701528,2020701528240400,2404,0,theft-of-motor-vehicle,auto-theft,12/1/2020 8:15:00 AM,,12/1/2020 8:45:00 AM,5100 BLK W COLGATE PL,3126142,1664657,-105.0519763,39.6574257,4,423,harvey-park-south,1,0,1
20196007879,20196007879239900,2399,1,theft-bicycle,larceny,8/10/2019 6:45:00 PM,8/11/2019 3:00:00 PM,8/13/2019 7:49:00 PM,1700 WEWATTA ST,3140273,1699879,-105.0011007,39.7539157,6,612,union-station,1,0,1
