Section,Biological Sex,GPA,Religious_Importance,Miss_Class,Seating,Monthly_Parties,Drinking_Days,Weekly_Study,Smoke_Cigarettes,Drive_Influenced,Drinks_per_Occasion,Uncommitted_Sex,Ever_Cheat,Divulge_Cheating,SATM,SATV,Height,Weight,Book_Cost,Daily_Smokes,Try_Weed,Weekly_High,Approve_Same_Sex,Date_Different_Race
Section 15,Male,2.6,Fairly Important,2,Middle,8,8,8,Yes,Yes,7_8,Yes,Yes,Yes,550,500,72,180,300,Less than half a pack,Yes,1 to 2,Yes,Yes
Section 15,Female,3.27,Fairly Important,1,Middle,8,10,15,No,Yes,5_6,Yes,No,Never cheated,640,600,65,140,360,None,Yes,Do not get high,No,Yes
Section 15,Female,3.7,Fairly Important,0,Front,4,6,25,No,No,3_4,No,Yes,No,500,450,67,155,400,None,No,Do not get high,Yes,No
Section 15,Female,2.8,Not Important,1,Middle,12,8,18,No,No,5_6,Yes,No,Never cheated,580,600,64,160,400,None,Yes,1 to 2,Yes,No
Section 15,Male,2.8,Fairly Important,2,Middle,10,10,15,No,No,5_6,Yes,No,Never cheated,580,620,71,165,350,None,Yes,More than 8,Yes,Yes
Section 16,Female,3.46,Very Important,0,Middle,0,0,15,No,No,0,No,No,Never cheated,620,640,62,117,110,None,No,Do not get high,No,Yes
Section 16,Female,3.63,Not Important,0,Front,7,10,20,No,No,5_6,No,No,Never cheated,640,700,67,128,175,None,Yes,Do not get high,Yes,Yes
Section 16,Male,3.55,Very Important,0,Middle,8,8,10,No,No,5_6,No,Yes,Yes,630,650,73,195,335,None,Yes,Do not get high,Yes,Yes
Section 16,Male,3.08,Not Important,0,Middle,0,15,2,No,Yes,9 or more,Yes,Yes,Yes,590,590,75,190,415,None,Yes,Do not get high,No,Yes
Section 16,Male,3.05,Fairly Important,2,Back,2,8,2,No,Yes,3_4,Yes,Yes,Yes,600,500,67,122,354,None,Yes,1 to 2,Yes,Yes
Section 16,Male,3.2,Fairly Important,0,Middle,5,12,3,No,Yes,9 or more,No,No,Never cheated,550,630,69,160,300,None,Yes,Do not get high,No,Yes
Section 16,Male,2.43,Not Important,1,Middle,10,13,8,No,No,3_4,No,No,Never cheated,520,450,69,133,410,None,Yes,Do not get high,No,Yes
Section 16,Female,3.13,Not Important,0,Front,0,0,40,No,No,0,Yes,No,Never cheated,,,98,160,400,None,No,Do not get high,Yes,Yes
Section 16,Male,2.83,Not Important,2,Middle,15,11,10,No,Yes,5_6,Yes,No,Never cheated,780,540,75,190,350,None,Yes,Do not get high,No,Yes
Section 13,Male,3.02,Not Important,2,Front,0,2,3,No,Yes,1_2,Yes,No,Never cheated,400,400,81,290,300,None,No,Do not get high,Yes,Yes
Section 13,Male,2.9,Very Important,2,Middle,10,12,6,No,Yes,9 or more,Yes,No,Never cheated,500,580,70,150,100,None,Yes,1 to 2,No,Yes
Section 13,Female,3.59,Very Important,0,Front,2,0,20,No,No,0,No,No,Never cheated,640,440,67,150,500,None,No,Do not get high,Yes,Yes
Section 13,Female,3.57,Very Important,0,Back,4,0,10,No,No,0,No,No,Never cheated,700,700,68,170,400,None,No,Do not get high,No,No
Section 13,Male,3.4,Not Important,8,Middle,14,14,6,No,Yes,9 or more,Yes,Yes,No,600,630,74,180,500,None,Yes,3 to 5,No,Yes
Section 13,Male,3.83,Fairly Important,0,Middle,4,4,10,No,No,5_6,Yes,No,Never cheated,710,710,68,136,300,None,No,Do not get high,Yes,Yes
Section 13,Female,3.3,Not Important,0,Middle,3,6,15,No,No,3_4,No,No,Never cheated,600,590,69,135,300,None,No,Do not get high,Yes,Yes
Section 13,Female,2.73,Very Important,0,Back,1,0,50,No,No,0,No,No,Never cheated,790,460,67,165,600,None,No,Do not get high,No,No
Section 13,Female,3.45,Fairly Important,0,Middle,8,10,12,No,No,5_6,No,No,Never cheated,560,500,64,130,400,None,No,Do not get high,No,Yes
Section 13,Male,3.74,Fairly Important,0,Front,5,5,8,No,No,7_8,Yes,No,Never cheated,700,520,74,173,400,None,Yes,Do not get high,Yes,Yes
Section 13,Male,2.91,Fairly Important,0,Middle,8,9,10,No,No,9 or more,Yes,No,Never cheated,520,550,66,140,350,None,Yes,Do not get high,Yes,Yes
Section 14,Female,3.5,Fairly Important,0,Front,3,3,12,No,No,3_4,No,No,Never cheated,650,560,67,157,450,None,No,Do not get high,Yes,Yes
Section 14,Male,3.67,Very Important,0,Front,0,0,5,No,No,0,No,No,Never cheated,650,670,71,165,300,None,No,Do not get high,No,Yes
Section 14,Male,3.3,Fairly Important,1,Back,12,12,2,No,Yes,9 or more,Yes,No,Never cheated,610,590,72,160,200,None,Yes,Do not get high,Yes,Yes
Section 13,Female,2.84,Very Important,1,Middle,3,0,8,No,No,0,No,No,Never cheated,480,520,62,145,300,None,No,Do not get high,Yes,Yes
Section 14,Male,3.87,Fairly Important,4,Back,12,12,5,Yes,Yes,9 or more,Yes,No,Never cheated,780,580,70,175,350,Less than half a pack,Yes,Do not get high,Yes,Yes
Section 14,Male,3.73,Fairly Important,0,Middle,12,15,12,No,No,5_6,Yes,No,Never cheated,580,590,70,135,450,None,Yes,1 to 2,Yes,Yes
Section 14,Female,3.74,Very Important,0,Back,12,13,5,No,No,9 or more,No,No,Never cheated,680,600,68,145,430,None,No,Do not get high,Yes,Yes
